user_id,betting_count,betting_sum,credit_count,credit_sum,utility_count,utility_sum,transport_count,transport_sum,government_count,government_sum,income_count,income_sum,shops_count,shops_sum,cafes_count,cafes_sum,hotels_count,hotels_sum,entertainment_count,entertainment_sum,health_count,health_sum,parking_count,parking_sum,commission_count,commission_sum,atm_count,atm_sum,online_services_count,online_services_sum,person_transfer_count,person_transfer_sum,small_business_count,small_business_sum,credit_taken_count,credit_payment_count,total_income,total_expense,transaction_count,max_income,max_expense,avg_transaction,expense_to_income_ratio,betting_expense_ratio,credit_expense_ratio,entertainment_expense_ratio,hotels_expense_ratio,cafes_expense_ratio,utility_expense_ratio,shops_expense_ratio,betting_count_ratio,credit_count_ratio,utility_count_ratio,transport_count_ratio,risk_score,label
1,0,0.0,38,559274.59,41,35115.53,127,26205.27,0,0.0,191,3736516.11,431,731398.57,12,30620.0,0,0.0,3,14500.0,0,0.0,0,0.0,18,5413.5,9,64500.0,5,2609.09,1076,4817385.1,54,105235.0,6,32,5159418.42,5161110.08,2070,247600.0,250000.0,4985.76,1.0003,0.0,0.1084,0.0028,0.0,0.0059,0.0068,0.1417,0.0,0.0184,0.0198,0.0614,5,0
2,1,8400.0,36,4675064.0,84,358843.36,6,297157.0,22,164874.74,476,68875622.17,167,5746016.35,68,381363.0,0,0.0,21,220466.82,16,142870.0,0,0.0,8,5073.5,13,1403000.0,39,885340.71,2193,71771355.0,0,0.0,1,35,79410185.17,79293166.25,3262,1320000.0,1700000.0,48652.16,0.9985,0.0001,0.059,0.0028,0.0,0.0048,0.0045,0.0725,0.0003,0.011,0.0258,0.0018,-40,0
3,313,2889261.0,3,126958.55,63,30179.87,21,11426.0,10,23495.09,145,6132109.37,248,393195.0,22,55265.0,0,0.0,4,4900.0,0,0.0,0,0.0,8,3403.0,13,906000.0,2,11674.41,872,8446173.07,31,239210.0,1,2,10097964.3,10040719.51,1871,420000.0,320000.0,10763.59,0.9943,0.2878,0.0126,0.0005,0.0,0.0055,0.003,0.0392,0.1673,0.0016,0.0337,0.0112,25,1
4,0,0.0,69,6705310.0,25,33428.57,0,0.0,66,621053.14,545,23528099.5,53,1619527.0,9,30020.0,0,0.0,0,0.0,0,0.0,0,0.0,10,4708.25,2,62000.0,0,0.0,1280,38387530.76,44,142561.0,9,60,35870854.5,35896923.75,2137,1000000.0,1000000.0,33583.42,1.0007,0.0,0.1868,0.0,0.0,0.0008,0.0009,0.0451,0.0,0.0323,0.0117,0.0,5,0
5,0,0.0,102,3478159.0,59,270728.43,259,67715.65,8,35606.0,60,4104117.7,156,322839.0,19,57808.0,0,0.0,27,18517.0,1,5390.0,0,0.0,9,4259.0,16,565500.0,0,0.0,1770,10226518.0,104,201399.62,37,65,9789596.65,9772744.7,2685,1500000.0,1000000.0,7285.79,0.9983,0.0,0.3559,0.0019,0.0,0.0059,0.0277,0.033,0.0,0.038,0.022,0.0965,20,1
6,168,2824116.63,155,4606228.77,196,1694839.37,143,1999152.78,104,982201.05,293,20637614.81,359,6563828.67,91,2456838.13,21,1270237.33,6,37195.07,2,15976.22,0,0.0,9,4677.16,6,200502.18,5,77552.92,1281,25726939.55,196,2628578.8,33,122,31485719.07,41536139.72,3108,1661129.47,2190442.56,23494.81,1.3192,0.068,0.1109,0.0009,0.0306,0.0591,0.0408,0.158,0.0541,0.0499,0.0631,0.046,15,0
7,125,1582682.55,113,2876720.84,175,2361681.16,124,3556982.44,109,2996325.91,237,14337752.29,292,6828030.09,88,878609.96,10,67601.45,4,12956.54,4,31681.6,0,0.0,6,6111.89,5,134695.38,6,262481.44,1087,20064165.63,179,4288723.62,28,85,26848573.09,34017692.79,2632,1141305.64,1779357.73,23125.48,1.267,0.0465,0.0846,0.0004,0.002,0.0258,0.0694,0.2007,0.0475,0.0429,0.0665,0.0471,5,0
8,131,2233053.5,109,3574754.24,111,1433048.92,130,1500498.53,82,1354658.66,216,15812233.85,287,4765251.09,104,2113033.55,22,172294.96,6,46775.98,1,12105.82,0,0.0,9,6199.13,1,228.0,5,5367.33,1009,15370228.13,148,3178913.95,21,88,29888554.43,23179319.58,2424,1234869.5,1119382.44,21892.69,0.7755,0.0963,0.1542,0.002,0.0074,0.0912,0.0618,0.2056,0.054,0.045,0.0458,0.0536,5,0
9,162,2507645.73,95,5752194.66,80,1660907.36,78,1497732.98,81,938235.28,172,10649413.75,220,2586944.66,67,978237.33,13,1775470.84,2,22561.63,1,5807.34,0,0.0,8,2156.25,6,803425.23,5,17560.55,757,18185540.56,129,2955972.47,26,69,20200501.67,30364533.34,1907,1358878.62,1666430.26,26515.49,1.5032,0.0826,0.1894,0.0007,0.0585,0.0322,0.0547,0.0852,0.085,0.0498,0.042,0.0409,55,1
10,107,1785372.46,98,1945835.49,129,1323434.67,119,960357.34,85,2751851.45,213,14269690.72,225,2646388.87,84,1442022.94,12,357514.69,8,21700.19,1,5242.92,0,0.0,10,5131.38,8,159787.49,12,151666.84,982,16112104.86,167,4201964.69,37,61,25293790.19,23203234.33,2321,1323902.65,1127226.71,20894.88,0.9173,0.0769,0.0839,0.0009,0.0154,0.0621,0.057,0.1141,0.0461,0.0422,0.0556,0.0513,5,0
11,142,2671432.25,252,17857748.61,138,2718185.75,148,1750733.96,130,3912739.3,266,14493110.32,350,5147529.2,104,1458733.57,10,397208.53,9,19916.42,1,1992.88,0,0.0,12,6178.33,8,468820.95,12,291171.18,1199,22673138.78,184,3842389.92,83,169,42386565.7,36233089.33,3044,1040015.07,790654.82,25827.74,0.8548,0.0737,0.4929,0.0005,0.011,0.0403,0.075,0.1421,0.0466,0.0828,0.0453,0.0486,20,1
12,82,947567.33,92,2152677.13,99,1206264.29,84,3959928.41,87,1353965.25,195,11499231.2,205,4400021.66,65,718394.36,9,47440.16,2,3671.69,1,15474.5,0,0.0,4,768.66,7,143624.23,2,20301.01,759,12591864.2,128,3140546.57,26,66,24408226.33,18345185.12,1871,1775772.45,1101229.88,22850.57,0.7516,0.0517,0.1173,0.0002,0.0026,0.0392,0.0658,0.2398,0.0438,0.0492,0.0529,0.0449,-5,0
13,142,1749213.8,110,4811703.55,116,2334449.76,109,1629014.81,94,1696164.39,198,13046229.6,246,3059749.01,81,641121.79,13,83045.75,3,9586.7,3,24656.9,0,0.0,7,2457.18,10,805302.38,7,90192.72,1025,16538815.02,156,1912206.5,27,83,23583291.01,25428451.31,2383,1601045.02,839848.87,20567.24,1.0782,0.0688,0.1892,0.0004,0.0033,0.0252,0.0918,0.1203,0.0596,0.0462,0.0487,0.0457,20,1
14,90,1432821.71,89,4536992.37,117,1920578.38,100,328485.4,89,2003649.58,193,13993378.64,202,3254917.58,63,1955587.21,5,5096.39,8,54727.75,0,0.0,0,0.0,8,2959.3,5,81680.29,3,24803.89,776,11062094.24,140,2090487.45,26,63,21653943.35,21547405.17,1933,1635243.16,1086136.21,22349.38,0.9951,0.0665,0.2106,0.0025,0.0002,0.0908,0.0891,0.1511,0.0466,0.046,0.0605,0.0517,15,0
15,86,2100845.14,129,3502983.35,107,3083401.51,80,674050.18,85,963294.77,180,15313505.53,232,3372292.76,59,2632654.84,13,571504.52,10,81541.47,1,5021.9,0,0.0,6,1692.89,5,287209.83,7,204502.96,746,12050746.14,90,1794644.56,33,96,24388027.01,22668105.42,1879,1397727.91,707745.1,25043.18,0.9295,0.0927,0.1545,0.0036,0.0252,0.1161,0.136,0.1488,0.0458,0.0687,0.0569,0.0426,10,0
16,167,2402357.96,104,2889825.99,116,776637.61,128,2121825.14,98,2242554.51,199,11826340.29,256,4663575.38,63,397234.63,12,100496.33,8,37414.77,3,15768.9,0,0.0,8,2505.61,6,605547.91,6,132963.89,949,14223394.7,143,2344457.94,39,65,22613153.5,22622861.58,2320,787970.94,717302.27,19498.28,1.0004,0.1062,0.1277,0.0017,0.0044,0.0176,0.0343,0.2061,0.072,0.0448,0.05,0.0552,25,1
17,132,1294917.42,162,4025584.31,136,5803701.39,138,1517791.28,106,4099018.45,256,16176861.4,293,3749126.4,83,1261120.11,14,459210.09,5,3684.15,2,7128.52,0,0.0,8,4009.08,7,369671.32,6,132310.95,1006,18597063.15,135,2376429.79,32,130,32232791.18,28061673.26,2552,1514923.5,1538926.83,23626.36,0.8706,0.0461,0.1435,0.0001,0.0164,0.0449,0.2068,0.1336,0.0517,0.0635,0.0533,0.0541,-15,0
18,189,2360533.74,106,4622719.88,120,1070470.61,104,821253.58,101,3331138.7,198,17101669.5,263,3353545.53,81,1279293.69,12,120187.03,7,10403.87,5,27116.4,0,0.0,7,2760.44,5,500095.63,7,165405.23,1030,18448778.57,141,2499563.51,39,67,28300097.45,28756555.91,2449,1059946.01,1063865.32,23297.94,1.0161,0.0821,0.1608,0.0004,0.0042,0.0445,0.0372,0.1166,0.0772,0.0433,0.049,0.0425,30,1
19,97,1255252.64,81,2121228.84,89,1180512.41,88,462812.85,59,808527.9,182,15101281.06,204,2713726.58,59,1226382.85,9,210930.9,6,19726.84,3,27139.62,0,0.0,3,683.54,3,63551.08,10,312011.96,693,14182004.05,131,3969593.7,31,50,18583644.75,25550668.06,1773,984205.17,1755436.56,24892.45,1.3749,0.0491,0.083,0.0008,0.0083,0.048,0.0462,0.1062,0.0547,0.0457,0.0502,0.0496,15,0
20,104,1717776.46,108,3506560.28,121,1711900.15,115,2171253.21,92,3222416.17,173,12414410.76,233,3748265.04,74,985075.13,17,296115.22,6,6490.27,2,9543.82,0,0.0,13,3284.34,8,748826.26,7,107409.51,897,14887327.55,146,1594566.2,34,74,25571766.52,21729910.62,2168,1122949.95,856701.78,21818.12,0.8498,0.0791,0.1614,0.0003,0.0136,0.0453,0.0788,0.1725,0.048,0.0498,0.0558,0.053,10,0
21,122,2260366.95,96,5335108.92,130,2382944.65,103,1203738.58,94,1534879.99,203,13433189.13,254,3568414.55,65,902177.35,10,1235184.31,5,91908.79,2,12136.18,0,0.0,3,766.08,7,383501.0,3,58044.14,880,16806896.48,163,3239522.22,30,66,23168137.61,29473981.14,2201,1137290.12,1712309.68,23917.36,1.2722,0.0767,0.181,0.0031,0.0419,0.0306,0.0808,0.1211,0.0554,0.0436,0.0591,0.0468,30,1
22,103,1601430.26,127,4256315.9,91,1526375.78,93,1884378.93,71,1146704.55,180,9662488.89,186,2413851.43,54,1168898.89,15,225307.45,5,9250.06,2,9221.25,0,0.0,5,1379.76,4,76719.65,4,123694.46,792,15024338.47,108,2113662.1,23,104,18544142.97,22937311.32,1885,1083461.03,1416168.14,22006.08,1.2369,0.0698,0.1856,0.0004,0.0098,0.051,0.0665,0.1052,0.0546,0.0674,0.0483,0.0493,30,1
23,118,2162967.04,99,3331178.5,136,2303055.77,144,1497262.75,100,2417667.93,231,18631781.12,248,4226868.29,92,984891.77,14,256354.01,5,28589.63,4,39992.31,0,0.0,11,3084.72,7,469674.81,8,88434.71,1044,15129264.73,145,2766961.11,30,69,29337762.68,25640546.92,2460,1265020.88,1786201.89,22348.91,0.874,0.0844,0.1299,0.0011,0.01,0.0384,0.0898,0.1649,0.048,0.0402,0.0553,0.0585,0,0
24,92,2500511.32,80,3321439.67,107,701194.1,97,403375.6,61,1670658.08,152,9435807.94,174,2362003.8,54,2111502.34,10,129625.0,3,11384.61,0,0.0,0,0.0,10,5570.73,9,873079.25,7,37720.57,709,12396524.17,105,1226937.8,24,56,19757946.44,17643747.47,1717,1423651.38,979877.23,21783.16,0.893,0.1417,0.1883,0.0006,0.0073,0.1197,0.0397,0.1339,0.0536,0.0466,0.0623,0.0565,15,0
25,279,5057172.48,141,4775159.83,159,2491752.99,171,4252397.69,134,3318609.13,292,18286342.04,336,5921378.32,92,721854.87,16,410097.44,9,133771.13,2,29397.92,0,0.0,6,4377.12,4,170354.74,10,39102.38,1247,22727097.47,181,2451473.43,30,111,35797273.93,35390555.42,3155,1280054.45,1372975.66,22563.5,0.9886,0.1429,0.1349,0.0038,0.0116,0.0204,0.0704,0.1673,0.0884,0.0447,0.0504,0.0542,10,0
26,108,877484.59,102,3836187.64,119,1108891.49,98,1215554.01,101,1306670.74,186,10735987.24,240,4010171.2,72,2310398.23,13,1778923.67,10,85308.15,1,3454.32,0,0.0,6,4211.24,4,22415.89,10,168016.88,844,16974301.8,140,2528961.13,31,71,24762543.82,22615800.66,2113,1369307.58,1253353.81,22422.31,0.9133,0.0388,0.1696,0.0038,0.0787,0.1022,0.049,0.1773,0.0511,0.0483,0.0563,0.0464,5,0
27,98,2121691.07,175,6548897.12,112,1031050.57,102,668001.81,104,1343318.67,218,13248263.86,254,4732661.48,88,902248.05,11,16019.66,5,22254.1,0,0.0,0,0.0,4,947.55,14,688832.11,6,22669.91,930,15288995.29,135,3149284.95,63,112,25889923.06,25066963.06,2317,1139227.65,1017174.67,21992.61,0.9682,0.0846,0.2613,0.0009,0.0006,0.036,0.0411,0.1888,0.0423,0.0755,0.0483,0.044,30,1
28,131,3567965.64,167,10541603.38,143,3005194.19,139,2205829.89,110,2840287.73,253,23861666.68,307,4058353.52,99,1280144.2,17,224188.2,6,24622.13,1,10253.65,0,0.0,7,3265.72,11,448763.76,7,127133.67,1103,19133289.94,166,2719611.68,49,118,37949068.16,38960313.14,2729,1233981.6,1822571.57,28182.26,1.0266,0.0916,0.2706,0.0006,0.0058,0.0329,0.0771,0.1042,0.048,0.0612,0.0524,0.0509,25,1
29,105,2371913.16,97,3399011.6,84,851103.45,116,1212578.22,87,982728.26,201,14618584.99,235,1179911.45,68,1439326.05,4,2390.44,6,11475.88,4,50314.61,0,0.0,8,3664.95,9,930874.88,5,15047.41,819,16275422.81,111,1952210.77,32,65,20777994.34,26752912.06,2009,1072617.0,1814312.18,23658.99,1.2876,0.0887,0.1271,0.0004,0.0001,0.0538,0.0318,0.0441,0.0523,0.0483,0.0418,0.0577,25,1
30,135,1850473.24,132,2669479.05,164,2009993.28,139,2235915.7,114,1749118.93,268,17812210.34,314,3211097.83,99,1144388.48,17,68271.23,12,109820.84,3,22624.48,0,0.0,9,4345.17,7,654417.79,4,59050.52,1199,20931294.54,182,1672999.64,46,86,32207798.0,24717478.81,2877,1625475.61,1044592.62,19786.33,0.7674,0.0749,0.108,0.0044,0.0028,0.0463,0.0813,0.1299,0.0469,0.0459,0.057,0.0483,0,0
31,98,2948691.88,111,5025889.56,89,954801.53,122,2496309.19,92,1474375.44,210,10187443.35,223,3930461.67,79,2634796.99,12,48250.89,9,41780.05,1,3842.61,0,0.0,3,605.29,8,996030.37,6,78091.73,821,19109452.01,123,1456316.27,27,84,28228355.54,23397895.75,2056,1916191.17,1131108.47,25110.04,0.8289,0.126,0.2148,0.0018,0.0021,0.1126,0.0408,0.168,0.0477,0.054,0.0433,0.0593,15,0
32,110,2458097.23,86,2645008.14,150,1913678.66,86,1422220.53,70,2171725.39,167,10376488.83,220,3998928.71,59,819156.66,7,26783.31,6,75398.4,5,35951.12,0,0.0,2,206.02,3,28390.6,3,82800.47,805,15119209.14,143,3047053.25,23,63,23510571.59,21056208.86,1969,1199307.96,1102676.0,22634.22,0.8956,0.1167,0.1256,0.0036,0.0013,0.0389,0.0909,0.1899,0.0559,0.0437,0.0762,0.0437,5,0
33,122,985436.35,150,7683778.51,108,2483057.27,110,746375.55,80,922888.84,228,13317493.29,269,3184922.61,82,1202587.57,19,88050.47,4,7215.38,2,8798.04,0,0.0,3,1926.7,5,127401.28,2,155291.8,869,14647092.69,139,943204.53,42,108,22430131.89,26582262.94,2251,838850.83,1434059.95,21773.61,1.1851,0.0371,0.2891,0.0003,0.0033,0.0452,0.0934,0.1198,0.0542,0.0666,0.048,0.0489,20,1
34,167,4541170.97,236,13741631.97,143,2730929.25,153,1670134.03,138,3515925.49,329,18642470.53,411,6200059.77,102,4021219.87,14,101602.96,12,53488.99,2,12662.61,0,0.0,9,3714.42,7,593307.48,11,161549.86,1234,22800889.5,184,3496596.97,46,190,39922267.32,43080597.65,3226,1247356.59,1237440.11,25729.34,1.0791,0.1054,0.319,0.0012,0.0024,0.0933,0.0634,0.1439,0.0518,0.0732,0.0443,0.0474,30,1
35,112,1592972.05,124,2714766.09,121,940008.84,115,1321595.31,91,850300.98,232,13671995.66,237,4623920.08,78,2278163.0,9,53037.21,10,62018.61,3,72928.18,0,0.0,9,5835.59,9,1042895.2,9,253478.96,918,13557128.8,147,2854292.77,36,88,21194016.34,25447535.85,2291,1032111.59,1155374.29,20358.6,1.2007,0.0626,0.1067,0.0024,0.0021,0.0895,0.0369,0.1817,0.0489,0.0541,0.0528,0.0502,20,1
36,101,3355722.04,78,2004349.18,92,2471192.21,93,852370.74,75,1882167.3,192,9779717.18,214,2604306.96,70,2188573.55,8,16646.38,9,6616.65,1,7769.2,0,0.0,7,4212.64,2,13336.39,3,9326.17,788,14521329.68,120,1926058.0,17,61,20687871.45,22946010.16,1896,1008509.45,1123055.77,23013.65,1.1092,0.1462,0.0874,0.0003,0.0007,0.0954,0.1077,0.1135,0.0533,0.0411,0.0485,0.0491,15,0
37,85,837877.27,68,2589222.36,114,1903851.08,86,635740.54,68,1571078.57,191,11333605.35,217,3462023.56,54,531033.04,5,22115.12,7,127690.02,1,6401.24,0,0.0,6,978.0,3,6347.34,6,56188.1,789,16505391.11,126,1232230.67,22,46,20171557.73,20928648.52,1863,1086072.96,1213794.07,22061.3,1.0375,0.04,0.1237,0.0061,0.0011,0.0254,0.091,0.1654,0.0456,0.0365,0.0612,0.0462,0,0
38,122,1914106.78,121,2980904.9,122,2227489.37,100,1852025.13,99,2013052.56,234,20053520.32,297,4129753.06,85,1377174.45,26,1551849.97,7,34912.07,0,0.0,0,0.0,7,4757.55,8,532257.16,8,108302.45,1027,18447606.4,172,2066151.44,31,90,34442125.47,25479889.26,2508,1245239.62,906001.35,23892.35,0.7398,0.0751,0.117,0.0014,0.0609,0.054,0.0874,0.1621,0.0486,0.0482,0.0486,0.0399,10,0
